"var","OR","OR_1","OR_2","group","adjust","vaccine"
"All",1.11400779623126,0.757633468761823,1.63801286668629,"1","adjust","1"
"2-24 weeks",0.859127632301405,0.609044788770148,1.21189820879064,"2","adjust","2"
"24-52 weeks",0.830740294528221,0.671981663017227,1.02700635290273,"3","adjust","2"
"2-8 weeks",0.675393812370587,0.496289656294799,0.91913421124682,"4","adjust","3"
"8-12 weeks",0.6293405755827,0.467768642843713,0.846721057800994,"5","adjust","3"
"12-24 weeks",0.729507929871859,0.538782782010315,0.987748379338033,"6","adjust","3"
"All",1.4005756671289,0.954369492392072,2.05540119942108,"1","unadjust","1"
"2-24 weeks",0.938808541639176,0.72011098236716,1.22392450529979,"2","unadjust","2"
"24-52 weeks",1.03126672683456,0.834937291194841,1.27376160232838,"3","unadjust","2"
"2-8 weeks",0.82228345943311,0.610247406981313,1.10799338091737,"4","unadjust","3"
"8-12 weeks",0.767735096929093,0.578613868960531,1.01867101823121,"5","unadjust","3"
"12-24 weeks",0.900688731352517,0.67482143498068,1.2021553387803,"6","unadjust","3"
