"var","OR","OR_1","OR_2","group","adjust"
"vaccine1",0.583465980658371,0.170964690880259,1.9912447934882,"3-17","age"
"vaccine2",0.607697835923331,0.361520489665518,1.02150962488344,"3-17","age"
"vaccine3",1.05551657626771e-05,0,Inf,"3-17","age"
"vaccine1",1.31790473797579,0.860006463709166,2.01960447005011,"18-64","age"
"vaccine2",0.873180968429016,0.691825149051942,1.10207760540574,"18-64","age"
"vaccine3",0.662446074556878,0.520868603776891,0.84250576539604,"18-64","age"
"vaccine1",0.928685458940854,0.259084108213659,3.3288675542266,"≥65","age"
"vaccine2",0.985443601009096,0.477826519069664,2.03232564961133,"≥65","age"
"vaccine3",0.978273025769042,0.361217731797072,2.64942174401604,"≥65","age"
"vaccine1",1.24989631423376,0.778279171867914,2.00730130370273,"Male","gender"
"vaccine2",0.634192197075467,0.475786233381725,0.845337074956354,"Male","gender"
"vaccine3",0.565547742652697,0.412800768066612,0.774815053561016,"Male","gender"
"vaccine1",0.903894512583833,0.461731526061358,1.76948127594517,"Female","gender"
"vaccine2",1.09655869571886,0.817034162634045,1.47171443759473,"Female","gender"
"vaccine3",0.744157266093172,0.541669454012606,1.022339422275,"Female","gender"
"vaccine1",1.20328021996902,0.733485049400596,1.9739779140037,"SinoVac","produce"
"vaccine2",0.861356486899035,0.668859541352156,1.1092538143706,"SinoVac","produce"
"vaccine3",0.690348620904468,0.476986685173682,0.9991499410747,"SinoVac","produce"
"vaccine1",1.13578684939836,0.64106771825119,2.01228626951512,"SinoPharm","produce"
"vaccine2",0.795132578233041,0.574379439016177,1.10072849761204,"SinoPharm","produce"
"vaccine3",0.631413657598579,0.424027689750708,0.940229179930224,"SinoPharm","produce"
"vaccine1",0.782370696343229,0.193292241821574,3.1667277523824,"SinoVac&SinoPharm","produce"
"vaccine2",0.832099447092385,0.661778913534726,1.04625498892557,"SinoVac&SinoPharm","produce"
"vaccine3",0.658944533133995,0.516543102370465,0.840603418678048,"SinoVac&SinoPharm","produce"
